iter	Passed	Remaining
0	0	812
1	1	758
2	2	715
3	2	699
4	3	679
5	4	671
6	5	835
7	6	830
8	7	821
9	8	804
10	8	785
11	9	777
12	10	784
13	11	781
14	11	770
15	12	758
16	13	752
17	13	745
18	14	736
19	14	727
20	15	721
21	16	714
22	16	709
23	17	703
24	17	698
25	18	692
26	19	686
27	20	705
28	21	707
29	21	705
30	22	703
31	23	701
32	23	699
33	24	695
34	25	692
35	25	688
36	26	685
37	26	682
38	27	679
39	28	675
40	28	673
41	29	669
42	29	667
43	30	665
44	31	663
45	31	660
46	32	657
47	33	655
48	33	658
49	35	665
50	35	668
51	36	667
52	37	666
53	37	664
54	38	664
55	39	663
56	39	661
57	40	659
58	41	657
59	41	656
60	42	654
61	43	651
62	43	650
63	44	647
64	44	645
65	45	643
66	46	641
67	46	640
68	47	638
69	48	642
70	49	646
71	49	642
72	50	643
73	51	644
74	52	642
75	52	640
76	53	638
77	53	636
78	54	635
79	55	633
80	55	633
81	56	632
82	57	631
83	57	630
84	58	628
85	59	627
86	59	626
87	60	625
88	60	623
89	61	621
90	62	620
91	63	622
92	64	624
93	64	625
94	65	625
95	66	627
96	67	628
97	68	629
98	68	627
99	69	626
100	70	624
101	70	623
102	71	620
103	71	619
104	72	617
105	73	616
106	73	615
107	74	614
108	74	612
109	75	611
110	76	609
111	76	606
112	77	609
113	78	612
114	79	613
115	80	613
116	81	612
117	81	610
118	82	609
119	82	607
120	83	606
121	83	604
122	84	602
123	85	600
124	85	599
125	85	596
126	86	593
127	86	592
128	87	589
129	87	588
130	88	587
131	88	584
132	89	583
133	90	582
134	90	580
135	91	581
136	92	584
137	93	585
138	94	584
139	95	584
140	95	583
141	96	585
142	97	586
143	98	586
144	99	586
145	100	588
146	102	597
147	103	595
148	104	595
149	105	597
150	106	599
151	107	600
152	108	600
153	109	599
154	109	599
155	110	599
156	111	598
157	112	597
158	112	596
159	113	595
160	114	594
161	114	594
162	115	591
163	115	590
164	116	590
165	117	590
166	119	593
167	123	611
168	124	613
169	125	614
170	127	618
171	128	617
172	129	616
173	130	620
174	131	621
175	132	619
176	132	618
177	133	616
178	134	615
179	136	620
180	137	622
181	138	623
182	139	622
183	140	622
184	140	620
185	141	619
186	142	617
187	142	616
188	143	615
189	144	614
190	144	612
191	144	609
192	145	608
193	146	606
194	146	605
195	147	604
196	147	603
197	148	601
198	149	599
199	150	600
200	151	600
201	151	600
202	152	599
203	153	599
204	154	598
205	155	597
206	155	596
207	156	595
208	156	593
209	157	592
210	157	590
211	158	589
212	159	587
213	159	586
214	160	584
215	160	583
216	161	582
217	162	582
218	163	581
219	163	580
220	164	581
221	165	580
222	166	579
223	167	578
224	167	577
225	168	576
226	169	575
227	169	574
228	170	572
229	170	571
230	171	569
231	171	568
232	172	567
233	172	565
234	173	564
235	173	562
236	174	561
237	175	560
238	175	559
239	176	558
240	176	556
241	177	555
242	178	554
243	179	555
244	180	555
245	180	554
246	181	553
247	181	551
248	182	550
249	183	549
250	183	547
251	184	546
252	184	545
253	185	543
254	185	542
255	186	541
256	186	540
257	187	539
258	188	537
259	188	536
260	189	535
261	189	534
262	190	533
263	190	531
264	191	530
265	191	529
266	192	528
267	193	529
268	194	529
269	195	528
270	196	527
271	196	526
272	197	525
273	197	524
274	198	522
275	198	521
276	199	520
277	199	519
278	200	517
279	200	516
280	201	516
281	202	515
282	203	514
283	203	513
284	204	512
285	204	511
286	205	510
287	205	508
288	206	507
289	206	506
290	208	507
291	209	506
292	209	505
293	210	505
294	210	503
295	211	502
296	211	501
297	212	500
298	213	499
299	213	498
300	214	497
301	214	496
302	215	495
303	216	494
304	216	493
305	217	492
306	217	491
307	218	490
308	218	489
309	219	488
310	219	487
311	220	486
312	220	485
313	221	484
314	222	484
315	223	484
316	224	483
317	224	482
318	225	481
319	225	480
320	226	479
321	227	478
322	227	477
323	228	475
324	228	474
325	229	474
326	230	473
327	230	472
328	231	471
329	231	470
330	232	469
331	233	468
332	233	467
333	234	466
334	234	465
335	235	464
336	235	463
337	236	463
338	237	462
339	238	462
340	238	461
341	239	460
342	240	460
343	241	459
344	241	459
345	242	458
346	243	457
347	243	456
348	244	455
349	244	454
350	245	453
351	245	452
352	246	451
353	247	450
354	247	450
355	248	449
356	248	448
357	249	447
358	249	446
359	250	445
360	251	445
361	252	445
362	253	444
363	253	443
364	254	442
365	255	441
366	255	440
367	256	440
368	256	439
369	257	438
370	258	437
371	258	436
372	259	436
373	260	435
374	260	434
375	261	433
376	261	432
377	262	431
378	263	431
379	263	430
380	264	429
